RK,Player,Team,W,L,ERA,G,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,CG,SHO,HB,IBB,GF,HLD,GIDP,GO,AO,WP,BK,SB,CS,PK,TBF,NP,WPCT,GO_AO,OBP,SLG,OPS,K_9,BB_9,H_9,K_BB,P_IP
91," Hill, R",NYY,0,0,3.38,16,0,0,0,5.1,7,2,2,0,6,9,0.318,2.44,0,0,1,1,2,1,1,3,3,1,0,2,0,0,29,118,.---,1,0.483,0.318,0.801,15.19,10.13,11.81,1.5,22.13
92," Johnson, J",DET,5,2,7.09,54,0,2,3,53.1,69,46,42,5,35,42,0.318,1.95,0,0,6,6,21,2,7,77,34,4,0,12,0,0,263,982,0.714,2.26,0.423,0.438,0.861,7.09,5.91,11.64,1.2,18.41
93," Bergman, C",COL,3,5,5.93,10,10,0,0,54.2,75,37,36,9,10,31,0.318,1.55,0,0,1,2,0,0,2,49,83,0,0,2,1,1,249,886,0.375,0.59,0.347,0.555,0.902,5.1,1.65,12.35,3.1,16.21
94," Masset, N",COL,2,0,5.8,51,0,0,2,45,56,31,29,3,24,36,0.316,1.78,0,0,5,0,14,2,8,55,35,2,0,6,0,1,211,759,1,1.57,0.405,0.463,0.868,7.2,4.8,11.2,1.5,16.87
95," Hernandez, P",COL,0,1,4.76,1,1,0,0,5.2,6,3,3,0,2,2,0.316,1.41,0,0,1,0,0,0,2,7,6,0,0,0,0,0,24,94,0,1.17,0.391,0.316,0.707,3.18,3.18,9.53,1,16.59
96," Nolasco, R",MIN,6,12,5.38,27,27,0,0,159,203,96,95,22,38,115,0.316,1.52,1,0,5,1,0,0,16,162,172,5,0,16,5,2,695,2641,0.333,0.94,0.356,0.505,0.861,6.51,2.15,11.49,3.03,16.61
97," Johnson, K",MIN,0,1,4.73,3,3,0,0,13.1,17,7,7,2,9,12,0.315,1.95,0,0,0,0,0,0,1,17,9,1,0,1,1,1,64,254,0,1.89,0.413,0.481,0.894,8.1,6.08,11.48,1.33,19.05
97," Putz, J",ARI,1,1,6.59,18,0,0,0,13.2,17,10,10,1,6,14,0.315,1.68,0,0,1,1,8,0,1,14,10,2,0,2,0,0,62,259,0.5,1.4,0.387,0.481,0.869,9.22,3.95,11.2,2.33,18.95
99," Ogando, A",TEX,2,3,6.84,27,0,1,2,25,33,19,19,1,15,22,0.314,1.92,0,0,1,1,10,7,1,17,34,4,0,3,0,0,122,494,0.4,0.5,0.405,0.39,0.795,7.92,5.4,11.88,1.47,19.76
100," May, T",MIN,3,6,7.88,10,9,0,0,45.2,59,41,40,7,22,44,0.314,1.77,0,0,2,1,0,0,3,37,49,3,0,1,0,0,213,839,0.333,0.76,0.39,0.511,0.9,8.67,4.34,11.63,2,18.37
101," Lowe, M",CLE,0,1,3.86,7,0,0,0,7,10,7,3,2,6,6,0.313,2.29,0,0,0,4,1,0,0,7,10,1,0,1,1,0,39,144,0,0.7,0.41,0.625,1.035,7.71,7.71,12.86,1,20.57
101," Rowen, B",TEX,0,0,4.15,8,0,0,0,8.2,10,4,4,0,4,7,0.313,1.62,0,0,0,3,4,0,1,14,4,0,0,3,0,0,39,145,.---,3.5,0.368,0.375,0.743,7.27,4.15,10.38,1.75,16.73
