RK,Player,Team,Pos,G,GS,INN,TC,PO,A,E,DP,SB,CS,SBPCT,PB,C_WP,FPCT¡¿,RF
1," Godfrey, G",OAK,P,5,4,21,4,1,3,0,1,-,-,-,-,-,1,0.8
1," Gomez, J",CLE,P,20,17,90.2,18,8,10,0,2,-,-,-,-,-,1,0.9
1," Gonzalez, M",WSH,P,47,0,35.2,3,1,2,0,1,-,-,-,-,-,1,0.06
1," Gonzalez, M",BAL,P,18,15,105.1,10,3,7,0,1,-,-,-,-,-,1,0.56
1," Granderson, C",NYY,CF,158,152,1364.1,349,346,3,0,0,-,-,-,-,-,1,2.21
1," Gray, J",MIN,P,49,0,52,8,3,5,0,0,-,-,-,-,-,1,0.16
1," Gregg, K",BAL,P,40,0,43.2,9,4,5,0,1,-,-,-,-,-,1,0.23
1," Gregorius, D",CIN,SS,6,4,46,18,8,10,0,4,-,-,-,-,-,1,3
1," Greinke, Z",LAA,P,34,34,212.1,53,22,31,0,3,-,-,-,-,-,1,1.56
1," Griffin, A",OAK,P,15,15,82.1,11,4,7,0,0,-,-,-,-,-,1,0.73
1," Grilli, J",PIT,P,64,0,58.2,9,5,4,0,0,-,-,-,-,-,1,0.14
1," Grimm, J",TEX,P,5,2,14,5,1,4,0,0,-,-,-,-,-,1,1
1," Guerra, J",LAD,P,45,0,45,6,0,6,0,0,-,-,-,-,-,1,0.13
1," Guerrier, M",LAD,P,16,0,14,4,1,3,0,0,-,-,-,-,-,1,0.25
1," Hacker, E",SF,P,4,1,9.2,2,0,2,0,0,-,-,-,-,-,1,0.5
1," Hagadone, N",CLE,P,27,0,25.1,1,0,1,0,0,-,-,-,-,-,1,0.04
1," Hall, B",BAL,LF,5,2,16,1,1,0,0,0,-,-,-,-,-,1,0.2
1," Hampson, J",NYM,P,13,0,10,3,0,3,0,0,-,-,-,-,-,1,0.23
1," Hanrahan, J",PIT,P,63,0,59.2,8,2,6,0,0,-,-,-,-,-,1,0.13
1," Happ, J",TOR,P,28,24,144.2,29,8,21,0,0,-,-,-,-,-,1,1.04
1," Harrell, L",HOU,P,32,32,193.2,51,12,39,0,2,-,-,-,-,-,1,1.59
1," Harris, W",COL,P,20,0,17.2,4,1,3,0,0,-,-,-,-,-,1,0.2
1," Harvey, M",NYM,P,10,10,59.1,14,1,13,0,0,-,-,-,-,-,1,1.4
1," Hatcher, C",MIA,P,11,0,14.2,2,1,1,0,0,-,-,-,-,-,1,0.18
1," Hefner, J",NYM,P,26,13,93.2,19,8,11,0,1,-,-,-,-,-,1,0.73
1," Henderson, J",MIL,P,36,0,30.2,3,0,3,0,0,-,-,-,-,-,1,0.08
1," Hendriks, L",MIN,P,16,16,85.1,12,5,7,0,1,-,-,-,-,-,1,0.75
1," Hermida, J",SD,RF,7,4,40.1,11,11,0,0,0,-,-,-,-,-,1,1.57
1," Hernandez, G",MIA,CF,57,33,344,107,106,1,0,0,-,-,-,-,-,1,1.88
1," Hernandez, L",MIL,P,44,0,67.1,15,4,11,0,1,-,-,-,-,-,1,0.34
1," Hernandez, L",TEX,SS,2,1,8,3,1,2,0,0,-,-,-,-,-,1,1.5
1," Hernandez, R",CLE,P,3,3,14.1,2,1,1,0,0,-,-,-,-,-,1,0.67
1," Herndon, D",TOR,P,5,0,7.2,3,1,2,0,0,-,-,-,-,-,1,0.6
1," Herrera, K",KC,P,76,0,84.1,17,8,9,0,1,-,-,-,-,-,1,0.22
1," Herrmann, C",MIN,C,6,3,28,10,10,0,0,0,1,0,1,1,1,1,1.67
1," Herrmann, F",CLE,P,15,0,19.1,1,0,1,0,0,-,-,-,-,-,1,0.07
1," Hester, J",LAA,C,38,27,253.2,204,195,9,0,2,30,5,0.857,1,10,1,5.37
1," Hill, R",BOS,P,25,0,19.2,8,4,4,0,1,-,-,-,-,-,1,0.32
1," Hill, S",STL,C,1,0,1.1,1,1,0,0,0,-,-,-,-,-,1,1
1," Hinshaw, A",CHC,P,33,0,28.1,3,0,3,0,0,-,-,-,-,-,1,0.09
1," Hochevar, L",KC,P,32,32,185.1,34,6,28,0,1,-,-,-,-,-,1,1.06
1," Holaday, B",DET,C,6,3,37,27,25,2,0,1,3,1,0.75,0,1,1,4.5
1," Holland, G",KC,P,67,0,67,5,2,3,0,1,-,-,-,-,-,1,0.07
1," Hoover, J",CIN,P,28,0,30.2,1,0,1,0,0,-,-,-,-,-,1,0.04
1," Horst, J",PHI,P,32,0,31.1,7,3,4,0,1,-,-,-,-,-,1,0.22
1," Hottovy, T",KC,P,9,0,9.1,2,1,1,0,0,-,-,-,-,-,1,0.22
1," Howell, J",TB,P,55,0,50.1,10,2,8,0,0,-,-,-,-,-,1,0.18
1," Hudson, D",ARI,P,9,9,45.1,5,0,5,0,1,-,-,-,-,-,1,0.56
1," Huff, D",CLE,P,6,4,26.2,2,0,2,0,1,-,-,-,-,-,1,0.33
1," Humber, P",CWS,P,26,16,102,13,8,5,0,0,-,-,-,-,-,1,0.5
1," Hunter, T",BAL,P,33,20,133.2,37,8,29,0,4,-,-,-,-,-,1,1.12
1," Hutchison, D",TOR,P,11,11,58.2,9,2,7,0,0,-,-,-,-,-,1,0.82
1," Igarashi, R",NYY,P,4,0,4,2,1,1,0,0,-,-,-,-,-,1,0.5
1," Janssen, C",TOR,P,62,0,63.2,13,7,6,0,0,-,-,-,-,-,1,0.21
1," Jaso, J",SEA,C,87,39,343.1,278,263,15,0,1,27,7,0.794,5,16,1,3.2
1," Jay, J",STL,CF,116,108,993.1,292,291,1,0,0,-,-,-,-,-,1,2.52
1," Jeffress, J",KC,P,13,0,13.1,5,2,3,0,0,-,-,-,-,-,1,0.38
1," Jennings, D",MIA,P,22,0,19,4,2,2,0,1,-,-,-,-,-,1,0.18
1," Jennings, D",TB,CF,133,124,1100.2,224,220,4,0,0,-,-,-,-,-,1,1.68
1," Johnson, D",CWS,1B,7,1,14,13,12,1,0,2,-,-,-,-,-,1,1.86
1," Johnson, J",BAL,P,71,0,68.2,18,6,12,0,1,-,-,-,-,-,1,0.25
1," Johnson, R",NYM,C,18,15,135.2,136,130,6,0,0,9,1,0.9,2,4,1,7.56
1," Johnson, S",BAL,P,12,4,38.1,2,0,2,0,0,-,-,-,-,-,1,0.17
1," Jurrjens, J",ATL,P,11,10,48.1,15,2,13,0,1,-,-,-,-,-,1,1.36
1," Kawasaki, M",SEA,SS,53,29,286.2,134,56,78,0,16,-,-,-,-,-,1,2.53
1," Kelley, S",SEA,P,47,0,44.1,10,2,8,0,0,-,-,-,-,-,1,0.21
1," Kelly, C",SD,P,6,6,29,8,2,6,0,1,-,-,-,-,-,1,1.33
1," Kershaw, C",LAD,P,33,33,227.2,51,9,42,0,1,-,-,-,-,-,1,1.55
1," Kimbrel, C",ATL,P,63,0,62.2,5,0,5,0,0,-,-,-,-,-,1,0.08
1," Kinney, J",SEA,P,35,0,32,8,2,6,0,1,-,-,-,-,-,1,0.23
1," Kintzler, B",MIL,P,14,0,16.2,6,2,4,0,0,-,-,-,-,-,1,0.43
1," Kirkman, M",TEX,P,28,0,35.1,4,3,1,0,0,-,-,-,-,-,1,0.14
1," Kluber, C",CLE,P,12,12,63,14,9,5,0,1,-,-,-,-,-,1,1.17
1," Koehler, T",MIA,P,8,1,13.1,1,0,1,0,0,-,-,-,-,-,1,0.13
1," Korecky, B",TOR,P,1,0,1,1,0,1,0,0,-,-,-,-,-,1,1
1," Kuroda, H",NYY,P,33,33,219.2,42,11,31,0,3,-,-,-,-,-,1,1.27
1," Laffey, A",TOR,P,22,16,100.2,27,5,22,0,2,-,-,-,-,-,1,1.23
1," Lalli, B",OAK,C,6,3,29.2,24,24,0,0,1,4,0,1,0,2,1,4
1," Lannan, J",WSH,P,6,6,32.2,9,0,9,0,1,-,-,-,-,-,1,1.5
1," LaPorta, M",CLE,1B,18,8,69,62,56,6,0,5,-,-,-,-,-,1,3.44
1," Latos, M",CIN,P,33,33,209.1,40,18,22,0,0,-,-,-,-,-,1,1.21
1," LeBlanc, W",MIA,P,25,9,68.2,16,3,13,0,0,-,-,-,-,-,1,0.64
1," LeCure, S",CIN,P,48,0,57.1,16,7,9,0,2,-,-,-,-,-,1,0.33
1," Leroux, C",PIT,P,10,0,11.1,2,0,2,0,0,-,-,-,-,-,1,0.2
1," Lerud, S",PHI,C,3,3,23,21,21,0,0,0,0,0,-,0,0,1,7
1," Lewis, F",NYM,LF,9,3,28.2,4,4,0,0,0,-,-,-,-,-,1,0.44
