RK,Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG¡¿,OBP,SLG,OPS
193," Tejada, M",HOU,SS,158,632,92,179,38,3,13,66,24,72,7,7,0.283,0.314,0.415,0.729
194," Tolbert, M",MIN,SS,41,113,18,32,6,3,0,6,7,19,7,1,0.283,0.322,0.389,0.712
195," Hardy, J",MIL,SS,146,569,78,161,31,4,24,74,52,98,2,1,0.283,0.343,0.478,0.821
196," Hawpe, B",COL,RF,138,488,69,138,24,3,25,85,76,134,2,2,0.283,0.381,0.498,0.879
197," Lopez, F",STL,3B,143,481,64,136,28,2,6,46,43,82,8,8,0.283,0.343,0.387,0.73
198," Zimmerman, R",WSH,3B,106,428,51,121,24,1,14,51,31,71,1,1,0.283,0.333,0.442,0.774
199," Pierre, J",LAD,LF,119,375,44,106,10,2,1,28,22,24,40,12,0.283,0.327,0.328,0.655
200," Aurilia, R",SF,1B,140,407,33,115,21,1,10,52,30,56,1,1,0.283,0.332,0.413,0.745
201," Crisp, C",BOS,CF,118,361,55,102,18,3,7,41,35,59,20,7,0.283,0.344,0.407,0.751
202," Santiago, R",DET,SS,58,124,30,35,6,2,4,18,22,17,1,0,0.282,0.411,0.46,0.87
203," Lind, A",TOR,1B,88,326,48,92,16,4,9,40,16,59,2,0,0.282,0.316,0.439,0.755
204," Lewis, F",SF,LF,133,468,81,132,25,11,9,40,51,124,21,7,0.282,0.351,0.44,0.791
205," Cabrera, O",CWS,SS,161,661,93,186,33,1,8,57,56,71,19,6,0.281,0.334,0.371,0.705
206," Castillo, W",CIN,C,18,32,6,9,1,0,0,1,1,5,0,0,0.281,0.303,0.313,0.616
207," Pierzynski, A",CWS,C,134,534,66,150,31,1,13,60,19,71,1,0,0.281,0.312,0.416,0.728
208," Casilla, A",MIN,2B,98,385,58,108,15,0,7,50,31,45,7,2,0.281,0.333,0.374,0.707
209," Soriano, A",CHC,LF,109,453,76,127,27,0,29,75,43,103,19,3,0.28,0.344,0.532,0.876
210," Granderson, C",DET,CF,141,553,112,155,26,13,22,66,71,111,12,4,0.28,0.365,0.494,0.858
210," Martin, R",LAD,C,155,553,87,155,25,0,13,69,90,83,18,6,0.28,0.385,0.396,0.781
212," Kennedy, A",STL,2B,115,339,42,95,17,4,2,36,21,43,7,1,0.28,0.321,0.372,0.692
213," Bailey, J",BOS,LF,27,50,10,14,1,1,2,6,9,17,0,0,0.28,0.39,0.46,0.85
213," Young, D",WSH,1B,50,150,15,42,6,0,4,10,28,28,0,0,0.28,0.394,0.4,0.794
215," Drew, J",BOS,RF,109,368,79,103,23,4,19,64,79,80,4,1,0.28,0.408,0.519,0.927
216," Ellsbury, J",BOS,CF,145,554,98,155,22,7,9,47,41,80,50,11,0.28,0.336,0.394,0.729
217," Loretta, M",HOU,2B,101,261,27,73,15,0,4,38,29,30,0,0,0.28,0.35,0.383,0.733
218," Kent, J",LAD,2B,121,440,42,123,23,1,12,59,25,52,0,1,0.28,0.327,0.418,0.745
219," Suzuki, K",OAK,C,148,530,54,148,25,1,7,42,44,69,2,3,0.279,0.346,0.37,0.716
220," Gonzalez, A",SD,1B,162,616,103,172,32,1,36,119,74,142,0,0,0.279,0.361,0.51,0.871
221," Betancourt, Y",SEA,SS,153,559,66,156,36,3,7,51,17,42,4,4,0.279,0.3,0.392,0.691
222," Bloomquist, W",SEA,CF,71,165,32,46,1,0,0,9,25,29,14,3,0.279,0.377,0.285,0.662
223," Martinez, V",CLE,C,73,266,30,74,17,0,2,35,24,32,0,0,0.278,0.337,0.365,0.701
224," Hunter, T",LAA,CF,146,551,85,153,37,2,21,78,50,108,19,5,0.278,0.344,0.466,0.81
225," Aybar, E",LAA,SS,98,346,53,96,18,5,3,39,14,45,7,2,0.277,0.314,0.384,0.699
226," Mientkiewicz, D",PIT,1B,125,285,37,79,19,2,2,30,44,28,0,0,0.277,0.374,0.379,0.753
227," Cantu, J",FLA,3B,155,628,92,174,41,0,29,95,40,111,6,2,0.277,0.327,0.481,0.808
228," Rollins, J",PHI,SS,137,556,76,154,38,9,11,59,58,55,47,3,0.277,0.349,0.437,0.786
229," Carroll, J",CLE,2B,113,347,60,96,13,4,1,36,34,65,7,3,0.277,0.355,0.346,0.7
230," Backe, B",HOU,P,29,47,8,13,2,0,2,3,3,18,0,0,0.277,0.333,0.447,0.78
231," Erstad, D",HOU,LF,140,322,49,89,16,0,4,31,14,68,2,3,0.276,0.309,0.363,0.672
232," McLouth, N",PIT,CF,152,597,113,165,46,4,26,94,65,93,23,3,0.276,0.356,0.497,0.853
232," Rodriguez, I",NYY,C,115,398,44,110,20,3,7,35,23,67,10,1,0.276,0.319,0.394,0.714
234," Laird, G",TEX,C,95,344,54,95,24,0,6,41,23,63,2,4,0.276,0.329,0.398,0.727
235," Kotsay, M",BOS,CF,110,402,45,111,25,4,6,49,32,45,2,4,0.276,0.329,0.403,0.732
236," Peralta, J",CLE,3B,154,605,104,167,42,4,23,89,48,126,3,1,0.276,0.331,0.473,0.804
237," Figgins, C",LAA,3B,116,453,72,125,14,1,1,22,62,80,34,13,0.276,0.367,0.318,0.685
238," Church, R",NYM,RF,90,319,54,88,14,1,12,49,33,83,2,3,0.276,0.346,0.439,0.785
239," Fielder, P",MIL,1B,159,588,86,162,30,2,34,102,84,134,3,2,0.276,0.372,0.507,0.879
240," Butler, B",KC,DH,124,443,44,122,22,0,11,55,33,57,0,1,0.275,0.324,0.4,0.724
241," Pagan, A",NYM,LF,31,91,12,25,7,1,0,13,11,18,4,0,0.275,0.346,0.374,0.72
242," Murphy, D",TEX,LF,108,415,64,114,28,3,15,74,31,70,7,2,0.275,0.321,0.465,0.786
243," Lowell, M",BOS,3B,113,419,58,115,27,0,17,73,38,61,2,2,0.274,0.338,0.461,0.798
244," Iwamura, A",TB,2B,152,627,91,172,30,9,6,48,70,131,8,6,0.274,0.349,0.38,0.729
245," Blake, C",LAD,3B,152,536,71,147,36,1,21,81,49,120,3,0,0.274,0.345,0.463,0.808
246," Catalanotto, F",TEX,LF,88,248,28,68,23,1,2,21,20,29,1,1,0.274,0.342,0.399,0.741
246," Ruiz, R",MIN,DH,22,62,13,17,2,0,1,7,6,21,0,0,0.274,0.338,0.355,0.693
